time,density,heading,latitude,longitude,passID,speed,temperature
2022-09-29 18:52:26.785000+00:00,89.53,0,37.819063,-121.288356,41,0.012,176.4860812
2022-09-29 18:52:26.913000+00:00,89.53,0,37.819063,-121.288356,41,0.012,176.2430831
2022-09-29 18:52:27.041000+00:00,89.53,0,37.819063,-121.288356,41,0.012,175.9757876
2022-09-29 18:52:27.169000+00:00,89.53,0,37.819063,-121.288356,41,0.012,175.9514879
2022-09-29 18:52:27.297000+00:00,89.53,0,37.819063,-121.288356,41,0.012,176.0000873
2022-09-29 18:52:27.425000+00:00,89.53,0,37.819063,-121.288356,41,0.012,176.2673828
2022-09-29 18:52:27.553000+00:00,89.53,0,37.819063,-121.288356,41,0.012,176.2430831
2022-09-29 18:52:27.681000+00:00,89.53,0,37.819063,-121.288356,41,0.012,175.9757864
2022-09-29 18:52:27.809000+00:00,89.53,0,37.819063,-121.288356,41,0.012,176.3645816
2022-09-29 18:52:27.937000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.9028885
2022-09-29 18:52:28.065000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.0972849
2022-09-29 18:52:28.193000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.0243858
2022-09-29 18:52:28.321000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.1215846
2022-09-29 18:52:28.449000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.1944837
2022-09-29 18:52:28.577000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.1944837
2022-09-29 18:52:28.705000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.7813889
2022-09-29 18:52:28.833000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.0000861
2022-09-29 18:52:28.961000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.9028874
2022-09-29 18:52:29.089000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.854288
2022-09-29 18:52:29.217000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.7570892
2022-09-29 18:52:29.345000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.7327895
2022-09-29 18:52:29.473000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.9271871
2022-09-29 18:52:29.601000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.9757876
2022-09-29 18:52:29.729000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.6598915
2022-09-29 18:52:29.857000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.2916825
2022-09-29 18:52:29.985000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.8299883
2022-09-29 18:52:30.113000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.7570892
2022-09-29 18:52:30.241000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.6841901
2022-09-29 18:52:30.369000+00:00,89.53,0,37.819063,-121.288356,41,0.035,176.2187834
2022-09-29 18:52:30.497000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.9757864
2022-09-29 18:52:30.625000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.9028874
2022-09-29 18:52:30.753000+00:00,89.53,0,37.819063,-121.288356,41,0.035,174.8823001
2022-09-29 18:52:30.881000+00:00,89.53,0,37.819063,-121.288356,41,0.035,175.9757876
2022-09-29 18:52:31.009000+00:00,89.53,0,37.819063,-121.288356,41,0.046,176.8505755
2022-09-29 18:52:31.137000+00:00,89.53,0,37.819063,-121.288356,41,0.046,176.1215846
2022-09-29 18:52:31.265000+00:00,89.53,0,37.819063,-121.288356,41,0.046,175.9271882
2022-09-29 18:52:31.393000+00:00,89.53,0,37.819063,-121.288356,41,0.046,176.413181
2022-09-29 18:52:31.521000+00:00,89.53,0,37.819063,-121.288356,41,0.046,176.1701851
2022-09-29 18:52:31.649000+00:00,89.53,0,37.819063,-121.288356,41,0.046,175.9757864
2022-09-29 18:52:31.777000+00:00,89.53,0,37.819063,-121.288356,41,0.046,176.2673828
2022-09-29 18:52:31.905000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.170184
2022-09-29 18:52:32.033000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.170184
2022-09-29 18:52:32.161000+00:00,89.53,0,37.819063,-121.288356,41,0.069,175.7570903
2022-09-29 18:52:32.289000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.0729863
2022-09-29 18:52:32.417000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.4860812
2022-09-29 18:52:32.545000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.1458843
2022-09-29 18:52:32.673000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.2187834
2022-09-29 18:52:32.801000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.170184
2022-09-29 18:52:32.929000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.1944837
2022-09-29 18:52:33.057000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.3645827
2022-09-29 18:52:33.185000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.1944837
2022-09-29 18:52:33.313000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.170184
2022-09-29 18:52:33.441000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.0486855
2022-09-29 18:52:33.569000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.3159822
2022-09-29 18:52:33.697000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.0486855
2022-09-29 18:52:33.825000+00:00,89.53,0,37.819063,-121.288356,41,0.069,176.5346806
2022-09-29 18:52:33.953000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.2916825
2022-09-29 18:52:34.081000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.413181
2022-09-29 18:52:34.209000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.7533935
2022-09-29 18:52:34.337000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.7047796
2022-09-29 18:52:34.465000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.4860801
2022-09-29 18:52:34.593000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.3645816
2022-09-29 18:52:34.721000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.3645816
2022-09-29 18:52:34.849000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.3159822
2022-09-29 18:52:34.977000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.0000861
2022-09-29 18:52:35.105000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.1215846
2022-09-29 18:52:35.233000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.7290793
2022-09-29 18:52:35.361000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.5589792
2022-09-29 18:52:35.489000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.3402819
2022-09-29 18:52:35.617000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.4131821
2022-09-29 18:52:35.745000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.6075785
2022-09-29 18:52:35.873000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.1944848
2022-09-29 18:52:36.001000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.4860812
2022-09-29 18:52:36.129000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.2187834
2022-09-29 18:52:36.257000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.6075797
2022-09-29 18:52:36.385000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.4860812
2022-09-29 18:52:36.513000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.4617804
2022-09-29 18:52:36.641000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.4374807
2022-09-29 18:52:36.769000+00:00,89.53,0,37.819063,-121.288356,41,0.058,176.5832811
2022-09-29 18:52:36.897000+00:00,89.53,0,37.819063,-121.288356,41,0.092,176.5589792
2022-09-29 18:52:37.025000+00:00,89.53,0,37.819063,-121.288356,41,0.092,176.6561802
2022-09-29 18:52:37.153000+00:00,89.53,0,37.819063,-121.288356,41,0.092,176.4131843
2022-09-29 18:52:37.281000+00:00,89.53,0,37.819063,-121.288356,41,0.092,176.7776831
2022-09-29 18:52:37.409000+00:00,89.53,0,37.819063,-121.288356,41,0.092,176.7533823
2022-09-29 18:52:37.537000+00:00,89.53,0,37.819063,-121.288356,41,0.092,176.826278
2022-09-29 18:52:37.665000+00:00,89.53,0,37.819063,-121.288356,41,0.092,177.0206745
2022-09-29 18:52:37.793000+00:00,89.53,0,37.819063,-121.288356,41,0.092,176.777682
2022-09-29 18:52:37.921000+00:00,89.53,0,37.819063,-121.288356,41,0.081,177.1421763
2022-09-29 18:52:38.049000+00:00,89.53,0,37.819063,-121.288356,41,0.081,176.58328
2022-09-29 18:52:38.177000+00:00,89.53,0,37.819063,-121.288356,41,0.081,177.2636804
2022-09-29 18:52:38.305000+00:00,89.53,0,37.819063,-121.288356,41,0.081,177.2879779
2022-09-29 18:52:38.433000+00:00,89.53,0,37.819063,-121.288356,41,0.081,177.0935736
2022-09-29 18:52:38.561000+00:00,89.53,0,37.819063,-121.288356,41,0.081,177.0449787
2022-09-29 18:52:38.689000+00:00,89.53,0,37.819063,-121.288356,41,0.081,177.2150765
2022-09-29 18:52:38.817000+00:00,89.53,0,37.819063,-121.288356,41,0.081,177.2393773
2022-09-29 18:52:38.945000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.11788
2022-09-29 18:52:39.073000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.069275
2022-09-29 18:52:39.201000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.3851811
2022-09-29 18:52:39.329000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.4094819
2022-09-29 18:52:39.457000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.7496933
2022-09-29 18:52:39.585000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.5795887
2022-09-29 18:52:39.713000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.6524901
2022-09-29 18:52:39.841000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.1421786
2022-09-29 18:52:39.969000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.0206801
2022-09-29 18:52:40.097000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.773993
2022-09-29 18:52:40.225000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.7982972
2022-09-29 18:52:40.353000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.8468999
2022-09-29 18:52:40.481000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.6038907
2022-09-29 18:52:40.609000+00:00,89.53,0,37.819063,-121.288356,41,0.046,178.1871091
2022-09-29 18:52:40.737000+00:00,89.53,0,37.819063,-121.288356,41,0.046,178.0413053
2022-09-29 18:52:40.865000+00:00,89.53,0,37.819063,-121.288356,41,0.046,177.8711974
2022-09-29 18:52:40.993000+00:00,89.53,0,37.819063,-121.288356,41,0.069,177.2150899
2022-09-29 18:52:41.121000+00:00,89.53,0,37.819063,-121.288356,41,0.069,178.308612
2022-09-29 18:52:41.249000+00:00,89.53,0,37.819063,-121.288356,41,0.069,178.2843101
2022-09-29 18:52:41.377000+00:00,89.53,0,37.819063,-121.288356,41,0.069,177.6767998
2022-09-29 18:52:41.505000+00:00,89.53,0,37.819063,-121.288356,41,0.069,177.8955027
2022-09-29 18:52:41.633000+00:00,89.53,0,37.819063,-121.288356,41,0.069,178.8918304
2022-09-29 18:52:41.761000+00:00,89.53,0,37.819063,-121.288356,41,0.069,177.8712041
2022-09-29 18:52:41.889000+00:00,89.53,0,37.819063,-121.288356,41,0.023,178.7460267
2022-09-29 18:52:42.017000+00:00,89.53,0,37.819063,-121.288356,41,0.023,177.9684018
2022-09-29 18:52:42.145000+00:00,89.53,0,37.819063,-121.288356,41,0.023,178.2843101
2022-09-29 18:52:42.273000+00:00,89.53,0,37.819063,-121.288356,41,0.023,178.5273182
2022-09-29 18:52:42.401000+00:00,89.53,0,37.819063,-121.288356,41,0.023,178.6002218
2022-09-29 18:52:42.529000+00:00,89.53,0,37.819063,-121.288356,41,0.023,177.9927037
2022-09-29 18:52:42.657000+00:00,89.53,0,37.819063,-121.288356,41,0.023,178.7703264
